연번,현행 용어,쉬운 용어,한자 또는 외국어
496,유착,"부착, 붙음",adhesion
497,유착결여,안붙음,nonunion
498,유치,"젖니, 탈락치아",乳齒
499,유타증,침과다증,流唾症/ ptyalism
500,유합술,"융합, 융해, 고정술",fusion
501,유행성이하선염,볼거리,流行性耳下腺炎/ epidemic parotitis/mumps
502,육안,맨눈,gross/macroscopic
503,육안으로,눈으로,
504,윤상형,둥근모양,輪狀形/circular
505,율속단계,속도결정단계,rate-determining step
506,음위,발기불능/발기부전,陰萎/ Impotence
507,의거하여,"따라서, 좇아서, 근거삼아",
508,의주감,스멀거림/ 개미기는 느낌,蟻走感/ formication
509,이개,귓바퀴,耳介/ auricle
510,이구전색,"귀지떡, 귀지전색",impacted cerumen
511,이긴장증/근긴장이상/ 디스토니아,근육긴장이상,dystonia
512,이두근,두갈래근,biceps
513,이루,귓물,otorrhea
514,이명,귀울림,耳鳴/ tinnitus
515,이염,귀염,耳炎/ otitis
516,이완되다,"풀어지다, 느즈러지다, 늘어 지다",弛緩
517,이욕,귀를 씻음,耳浴
518,이유,젖떼기,離乳/ delactation/ablactation
519,이인증,"자아상실감, 자아분리감",離人症/depersonalization
520,이절,귀 부스럼증,耳癤/furuncle of ear
521,이중맹검,"환자, 의사 모두 모르게 임상시험하는 방법",double blind test
522,이출혈,귀출혈,耳出血/ otorrhagia
523,이통,귀통증,otalgia/耳痛
524,이폐감,귀가 먹먹한 느낌,耳閉感
525,이폐색감,귀가 막힌 느낌,耳閉塞感
526,이하선,귀밑샘,parotid/parotid gland
527,이형성증/형성장애,형성이상,dysplasia
528,인설,"비늘, 껍질",살비듬/인비늘(鱗屑)/scale
529,인습성,흡습성,引濕性
530,인후,목구멍,throat
531,일과성,한번 나타나고 없어지는,一過性
532,일광화상,햇볕화상,sunburn
533,임신 초삼분기,임신 첫3개월,妊娠 初三分期
534,임플란트,인공치아이식,implant
535,입상,알갱이모양,粒狀
536,"자반, 자색반",자주색반점,紫斑/ purpura
537,자상/자창,찔린상처,刺創/ puncture wound/stab wound
538,자통,찌르는 것 같은 아픔,刺痛
539,작열감,화끈감,灼熱感/ ardor/burning sensation
540,장간막,창자간막,mesentery
541,장관,창자,腸管
542,장문합술,장연결(술),腸吻合術
543,장쇄,긴 사슬,長鎖
544,장염,창자염,enteritis
545,장염전,창자꼬임,volvulus
546,장중적증,장겹침증,腸重積症/ indigitation/intussusception
547,장중첩,"창자겹침증, 장겹침증",腸重疊/ Intussusception
548,장폐색증,창자막힘증,ileus
549,저류,"고임, 쌓임",pooling/貯留
550,저작,씹기,chewing/咀嚼
551,저작운동,씹는운동,咀嚼運動/masticatory movement
552,저해제,억제제,沮害劑/inhibitor
553,적의,적절히,適宜
554,적자색,붉은 자주색,赤紫色
555,적출,"적출, 추출, 분만,뽑아냄, 뽑 음",摘出/extraction
556,전간,뇌전증,癲癎/ epilepsy
557,전격성간염,급격히 발병하는 간염,電擊性肝炎/fulminant
558,전기소작,전기지짐,電氣燒灼
559,전립선,전립샘,prostate
560,전박,아래팔,forearm
561,전색,혈관막힘,栓塞
562,전신조홍,온몸이 붉어짐,全身潮紅
563,전신홍조,온몸이 붉어짐,全身紅潮
564,전염단핵구증,전염성 단핵구,傳染蛋核球症/infectious mononucleosis
565,전위성,"전위, 변위",transversion
566,전정장애,평형기능장애,前庭障碍
567,전풍,어루러기,撫風/ tinea versicolor
568,절상,베인 상처,切傷/incised wound
569,절종증,종기증,癤腫症
570,절증,종기/부스럼,癤症/boil(부스럼)/ furuncle(종기)/ furunculosis(종기증)
571,절창증,종기(증),癤創症/ furunculosis
572,점상출혈,출혈점,petechia/petechial bleeding
573,점안,눈에 넣음,點眼
574,점이,귀에 넣음,點耳
575,점조,끈끈하고 뻑뻑함,粘稠
576,접형골,나비뼈,sphenoid
577,제대,탯줄,臍帶/ umbilical cord
578,제동맥,탯줄동맥,臍動脈/ umbilical artery
579,제세동기,"잔떨림제거기, 제세동기",defibrillator
580,제염,배꼽염,臍炎/ omphalitis
581,조갑,손발톱,爪甲
582,조갑장애,"손,발톱병",爪甲障碍/ nail diseases
583,조갑주위염/조위염,손발톱주위염,爪甲周圍炎/paronychia
584,조갑진균증,손발톱진균증,爪甲眞菌症/ onychomycosis
585,조균증,털곰팡이증,phycomycosis
586,조동,"된떨림, 조동",flutter
587,조발형,조기발생형,早發形/ early onset
588,조산,조기분만,preterm delivery
589,조혈모세포,줄기세포,stem cell
590,조홍,홍조,潮紅
591,족,발,足/ pedis/pedal
592,족구,발과 입,足口/ foot-and-mouth
593,족근골,발목뼈,足根骨/ tarsal bone
594,족배,발등,足背/ dorsal of foot/instep
595,족부백선,"발백선증, 무좀",足部白線/ Tinea pedis
596,"족장,족저",발바닥,足掌/ plantar/sole
597,종격,세로칸,縱隔/ mediastinum
598,종골,발꿈치뼈,calcaneus
599,종창,부기,腫脹/ swelling
600,좌골신경염,궁둥이뼈신경염,坐骨神經炎/ ischiatitis
601,좌상,타박상/멍,挫傷/打撲傷 /bruise/contused wound
602,좌창/면포,여드름,痤瘡/acne comedo
603,주관절,팔꿉 관절,elbow joint
604,주산기,출산전후기,周産期/perinatal period
605,중격,사이막,中隔/septum
606,중이,가운데귀,中耳/middle ear
607,중증,심한 증상,重症/severe
608,증량,양을 늘림,增量
609,지간(수지간/족지간),"손, 발가락사이",指間/interdigital
610,지둔,매우 우둔,至鈍
611,지방패드,지방덩이,fat pad
612,지주막,거미막,arachnoid/arachnoid membrane
613,직장,"곧창자, 직장",rectal
614,진경,경련완화,鎭痙
615,진경작용,경련멈춤작용,鎭痙作俑/ antispasmodic
616,진구성 심근 경색,오래된 심근경색증,old myocardial infarction
617,진균,곰팡이,fungus
618,진보,나아감,進步
619,진전,떨림,振戰/tremor
620,착감각,감각이상,錯感覺 /paraesthesia/dysaesthesia
621,찰상/찰과상,긁힌 상처,擦傷/擦過傷 /abrasion/brush-burn
622,창,종기,瘡/furuncle
623,창상,상처,創傷/ wound
624,창상봉합,"상처꿰맴, 상처봉합",wound closure
625,척주전만,척주앞굽음증,lordosis
